"PercentOfNAV","ClientAccountID","AssetClass","SubCategory","Symbol","ListingExchange","Quantity","CostBasisPrice","CostBasisMoney","FifoPnlUnrealized","CurrencyPrimary","FXRateToBase","Description","PositionValue"
"0.56","U9381279","STK","COMMON","CU","TSE","30","34.954846667","1048.6454","115.6546","CAD","0.71718","CANADIAN UTILITIES LTD-A","1164.3"
"0.34","U9381279","STK","COMMON","ENB","TSE","10","56.58298","565.8298","128.4702","CAD","0.71718","ENBRIDGE INC","694.3"
"0.99","U9381279","STK","PUBLIC","ENB.PR.B","TSE","100","18.00798","1800.798","242.202","CAD","0.71718","ENBRIDGE INC","2043"
"1.19","U9381279","STK","PUBLIC","FTS.PR.G","TSE","100","22.31178","2231.178","217.822","CAD","0.71718","FORTIS INC CUMM RED SHS SER G","2449"
"1.73","U9381279","STK","COMMON","AAPL","NASDAQ","10","198.64","1986.4","580.5","USD","1","APPLE INC","2566.9"
"1.49","U9381279","STK","COMMON","AMZN","NASDAQ","10","169.455","1694.55","514.45","USD","1","AMAZON.COM INC","2209"
"3.13","U9381279","STK","COMMON","BCE","NYSE","200","24.92194","4984.388","-346.388","USD","1","BCE INC","4638"
"33.44","U9381279","STK","COMMON","BEPC","NYSE","1300","26.538038462","34499.45","14991.55","USD","1","BROOKFIELD RENEWABLE CORP","49491"
"0.19","U9381279","STK","COMMON","BF B","NYSE","10","28.09","280.9","-5.5","USD","1","BROWN-FORMAN CORP-CLASS B","275.4"
"20.86","U9381279","STK","COMMON","BIPC","NYSE","700","37.389857143","26172.9","4697.1","USD","1","BROOKFIELD INFRASTRUCTURE-A","30870"
"0.20","U9381279","STK","COMMON","CI","NYSE","1","269.875","269.875","33.115","USD","1","THE CIGNA GROUP","302.99"
"1.05","U9381279","STK","COMMON","CMCSA","NASDAQ","50","32.6876","1634.38","-79.88","USD","1","COMCAST CORP-CLASS A","1554.5"
"5.22","U9381279","STK","COMMON","CNI","NYSE","80","99.70525","7976.42","-247.62","USD","1","CANADIAN NATL RAILWAY CO","7728.8"
"1.57","U9381279","STK","COMMON","CP","NYSE","30","72.953333333","2188.6","132.2","USD","1","CANADIAN PACIFIC KANSAS CITY","2320.8"
"0.64","U9381279","STK","ADR","DEO","NYSE","10","108.275","1082.75","-138.95","USD","1","DIAGEO PLC-SPONSORED ADR","943.8"
"1.69","U9381279","STK","COMMON","GOOGL","NASDAQ","10","176.81","1768.1","736.2","USD","1","ALPHABET INC-CL A","2504.3"
"0.26","U9381279","STK","ADR","HTHT","NASDAQ","10","31.105","311.05","72.05","USD","1","H WORLD GROUP LTD-ADR","383.1"
"0.20","U9381279","STK","COMMON","HUM","NYSE","1","246.605","246.605","48.595","USD","1","HUMANA INC","295.2"
"0.83","U9381279","STK","REIT","LAMR","NASDAQ","10","122.7","1227","-5","USD","1","LAMAR ADVERTISING CO-A","1222"
"0.60","U9381279","STK","COMMON","MRK","NYSE","10","78.7","787","101","USD","1","MERCK & CO INC","888"
"0.50","U9381279","STK","ADR","NGG","NYSE","10","58.7","587","152","USD","1","NATIONAL GRID PLC-SP ADR","739"
"0.48","U9381279","STK","COMMON","NKE","NYSE","10","61.95","619.5","92.2","USD","1","NIKE INC -CL B","711.7"
"0.00","U9381279","STK","REIT","NLOP","NYSE","0.0285","23.82","0.67887","0.17113","USD","1","NET LEASE OFFICE PROPERTY","0.85"
"2.42","U9381279","STK","ADR","NVO","NYSE","60","49.523216667","2971.393","607.607","USD","1","NOVO-NORDISK A/S-SPONS ADR","3579"
"8.10","U9381279","STK","REIT","O","NYSE","200","57.38123143","11476.246286","503.753714","USD","1","REALTY INCOME CORP","11980"
"0.61","U9381279","STK","COMMON","OTIS","NYSE","10","90.09","900.9","7.4","USD","1","OTIS WORLDWIDE CORP","908.3"
"0.91","U9381279","STK","ADR","PDD","NASDAQ","10","95.61","956.1","387.2","USD","1","PDD HOLDINGS INC","1343.3"
"0.89","U9381279","STK","COMMON","PFE","NYSE","50","23.6656144","1183.28072","138.21928","USD","1","PFIZER INC","1321.5"
"1.03","U9381279","STK","COMMON","TRI","NASDAQ","10","151.1","1511","9.3","USD","1","THOMSON REUTERS CORP","1520.3"
"7.27","U9381279","STK","COMMON","UNH","NYSE","30","308.742266667","9262.268","1500.832","USD","1","UNITEDHEALTH GROUP INC","10763.1"
"1.60","U9381279","STK","COMMON","UNP","NYSE","10","219.84","2198.4","175.7","USD","1","UNION PACIFIC CORP","2374.1"
