"PercentOfNAV","ClientAccountID","AssetClass","SubCategory","Symbol","ListingExchange","Quantity","CostBasisPrice","CostBasisMoney","FifoPnlUnrealized","CurrencyPrimary","FXRateToBase","Description","PositionValue"
"10.56","U8917075","STK","COMMON","APO","NYSE","100","120.5615092","12056.15092","613.84908","USD","1","APOLLO GLOBAL MANAGEMENT INC","12670"
"31.31","U8917075","STK","COMMON","BAM","NYSE","650","45.864257385","29811.7673","7745.2327","USD","1","BROOKFIELD ASSET MGMT-A","37557"
"22.70","U8917075","STK","COMMON","BN","NYSE","400","43.67975","17471.9","9760.1","USD","1","BROOKFIELD CORP","27232"
"0.83","U8917075","STK","COMMON","BRK B","NYSE","2","473.132527","946.265054","53.774946","USD","1","BERKSHIRE HATHAWAY INC-CL B","1000.04"
"1.63","U8917075","STK","COMMON","MKL","NYSE","1","1576.333385","1576.333385","381.646615","USD","1","MARKEL GROUP INC","1957.98"
"1.19","U8917075","STK","COMMON","PAX","NASDAQ","100","10.280035","1028.0035","396.9965","USD","1","PATRIA INVESTMENTS LTD-A","1425"
"25.12","U8917075","STK","ETF","SGOV","ARCA","300","100.425035","30127.5105","-1.5105","USD","1","ISHARES 0-3 MONTH TREASURY B","30126"
"6.65","U8917075","STK","ETF","TLT","NASDAQ","90","85.406157111","7686.55414","293.74586","USD","1","ISHARES 20+ YEAR TREASURY BD","7980.3"
"100.00","U8917075","FUND","","VLPIX","","0.31","9.341990323","2.896017","2.353983","USD","1","Virtus Funds VIRTUS DUFF & PHELPS SLT MLP AND ENGY-I","5.25"
"100.00","U8917075","BOND","Govt","TF Float 07/31/26","","40000","100.135775","40054.31","-46.05","USD","1","TF Float 07/31/26","40008.26"
